IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.253.41,2052,2052,false,SIN,Asia Pacific,Singapore,227,10.08
47.237.121.38,2082,2082,false,SIN,Asia Pacific,Singapore,153,8.44
8.219.67.133,2086,2086,false,SIN,Asia Pacific,Singapore,130,7.51
47.236.169.141,2095,2095,false,SIN,Asia Pacific,Singapore,221,7.27
47.237.92.26,8080,8080,false,SIN,Asia Pacific,Singapore,157,7.26
47.236.9.152,8080,8080,false,SIN,Asia Pacific,Singapore,172,6.94
47.236.87.246,8880,8880,false,SIN,Asia Pacific,Singapore,173,6.72
47.237.95.140,2052,2052,false,SIN,Asia Pacific,Singapore,155,6.46
47.237.125.8,2052,2052,false,SIN,Asia Pacific,Singapore,128,6.45
47.237.0.31,8080,8080,false,SIN,Asia Pacific,Singapore,159,6.11
47.237.82.15,8880,8880,false,SIN,Asia Pacific,Singapore,174,5.49
47.237.92.26,2095,2095,false,SIN,Asia Pacific,Singapore,145,5.40
8.219.170.232,8080,8080,false,SIN,Asia Pacific,Singapore,245,5.28
47.237.83.20,2096,2096,true,SIN,Asia Pacific,Singapore,102,5.27
47.237.95.146,8080,8080,false,SIN,Asia Pacific,Singapore,182,5.09
47.236.150.13,2086,2086,false,SIN,Asia Pacific,Singapore,242,5.08
47.237.94.140,2052,2052,false,SIN,Asia Pacific,Singapore,126,4.89
47.237.8.82,2095,2095,false,SIN,Asia Pacific,Singapore,151,4.87
47.236.10.100,2052,2052,false,SIN,Asia Pacific,Singapore,206,4.73
47.237.10.1,8080,8080,false,SIN,Asia Pacific,Singapore,129,4.69
47.237.81.112,2096,2096,true,SIN,Asia Pacific,Singapore,158,4.60
47.236.17.193,2095,2095,false,SIN,Asia Pacific,Singapore,156,4.52
47.237.10.1,2086,2086,false,SIN,Asia Pacific,Singapore,108,4.45
47.236.167.231,2082,2082,false,SIN,Asia Pacific,Singapore,283,4.38
47.237.121.38,2053,2053,true,SIN,Asia Pacific,Singapore,173,4.37
47.237.83.20,2086,2086,false,SIN,Asia Pacific,Singapore,123,4.29
8.219.67.133,8080,8080,false,SIN,Asia Pacific,Singapore,177,4.17
8.219.111.147,2087,2087,true,SIN,Asia Pacific,Singapore,102,3.89
47.236.232.148,2086,2086,false,SIN,Asia Pacific,Singapore,173,3.78
47.237.0.31,2087,2087,true,SIN,Asia Pacific,Singapore,180,3.66
47.237.86.185,2095,2095,false,SIN,Asia Pacific,Singapore,165,3.62
47.236.144.156,2082,2082,false,SIN,Asia Pacific,Singapore,201,3.50
47.236.169.141,2086,2086,false,SIN,Asia Pacific,Singapore,171,3.42
47.237.10.1,8880,8880,false,SIN,Asia Pacific,Singapore,116,3.38
